prefecture,prefecture_code,periodontal_count,chronic_periodontal_count,caries_count,periodontal_rate,chronic_periodontal_rate,caries_rate,population
北海道,01,5606876.0,92708.0,2051017.0,107316.55965397635,1774.4468777980537,39256.81399621101,5224614
青森県,02,987357.0,11061.0,500296.0,79755.23108537753,893.468736267997,40412.15395352444,1237984
岩手県,03,1322130.0,43473.0,567885.0,109218.74148103234,3591.225029615029,46911.94134158974,1210534
宮城県,04,2632887.0,217458.0,1100309.0,114374.0910062398,9446.497735009096,47798.0413519398,2301996
秋田県,05,1016450.0,78083.0,435652.0,105935.16219872392,8137.867352022195,45403.969976091765,959502
山形県,06,1208103.0,50733.0,483339.0,113115.39876800867,4750.160810541307,45255.31657907525,1068027
福島県,07,1736335.0,143373.0,851530.0,94718.55034388856,7821.119034319031,46451.68540306533,1833152
茨城県,08,3194614.0,193650.0,1313139.0,111426.71683276893,6754.425954016886,45801.70484292167,2867009
栃木県,09,2007278.0,302678.0,903322.0,103834.78537058247,15657.275756719873,46728.07951391152,1933146
群馬県,10,1835229.0,88059.0,987520.0,94642.85161749463,4541.207048594458,50926.45595144164,1939110
埼玉県,11,9128377.0,728221.0,3471235.0,124284.12617694371,9914.830494917127,47261.34872933307,7344765
千葉県,12,8305189.0,684957.0,2909440.0,132153.95704974796,10899.183385101074,46295.63623402413,6284480
東京都,13,20954490.0,2087223.0,7290985.0,149167.82190601467,14858.224120087754,51902.01966258421,14047594
神奈川県,14,12053898.0,1028130.0,4288979.0,130491.04953083339,11130.155801396008,46430.90319212128,9237337
新潟県,15,1570384.0,191470.0,865190.0,71339.84350866226,8698.152704436345,39304.09326970951,2201272
富山県,16,871510.0,114113.0,419824.0,84218.99974294897,11027.392362298926,40569.99615389819,1034814
石川県,17,954835.0,84481.0,577075.0,84310.20568181216,7459.519693146118,50954.68006915515,1132526
福井県,18,673528.0,54073.0,347874.0,87828.98640304721,7051.1942811167055,45363.25262791398,766863
山梨県,19,978622.0,26638.0,396551.0,120821.40908226684,3288.7475400444955,48958.485087175635,809974
長野県,20,2056761.0,284870.0,818236.0,100427.24379898352,13909.593259020581,39952.715097721644,2048011
岐阜県,21,2823404.0,243216.0,940849.0,142686.81819054735,12291.445777165492,47547.83594829442,1978742
静岡県,22,3975481.0,628551.0,1557786.0,109420.86346974378,17300.194153807028,42876.39388065954,3633202
愛知県,23,10956184.0,1009255.0,4055308.0,145260.9542169186,13381.058984423424,53766.70469604231,7542415
三重県,24,2287049.0,227618.0,758674.0,129193.26831064922,12857.928862185878,42856.787782996114,1770254
滋賀県,25,1524896.0,170316.0,607054.0,107872.46836114628,12048.301865436719,42943.527564179654,1413610
京都府,26,3218368.0,216654.0,1026132.0,124835.50787851612,8403.672955955328,39802.070294757315,2578087
大阪府,27,13109296.0,1385419.0,4092192.0,148334.04901849295,15676.265899950042,46303.890668201006,8837685
兵庫県,28,7374190.0,616501.0,2581342.0,134934.8088070233,11280.892486407141,47234.054077198874,5465002
奈良県,29,1697291.0,84614.0,604263.0,128148.40317620669,6388.503200895752,45622.900580079775,1324473
和歌山県,30,1052476.0,69651.0,430034.0,114079.15160028789,7549.556463151323,46611.907425231744,922584
鳥取県,31,622893.0,40369.0,277091.0,112556.03922610302,7294.631256923025,50070.020798435864,553407
島根県,32,730603.0,33917.0,340255.0,108862.2702741363,5053.74549637475,50699.1235624905,671126
岡山県,33,2420719.0,248205.0,1004078.0,128186.71786964,13143.443873012106,53169.931456361686,1888432
広島県,34,3717225.0,288228.0,1350750.0,132772.1664662882,10294.952819978698,48246.2062033745,2799702
山口県,35,1460358.0,138818.0,532938.0,108814.73914336106,10343.658512777754,39710.47472577584,1342059
徳島県,36,857790.0,96864.0,394202.0,119210.5164413203,13461.578550195327,54783.83287541397,719559
香川県,37,1247459.0,142272.0,486848.0,131277.75602897783,14972.154520312677,51233.99884661203,950244
愛媛県,38,1668271.0,53243.0,703294.0,124979.00499010744,3988.7147607842435,52687.47363918249,1334841
高知県,39,781896.0,82077.0,373294.0,113068.0363890347,11868.950886950184,53981.11715088493,691527
福岡県,40,6586832.0,394884.0,2590582.0,128267.91639063144,7689.7282177529505,50447.40102359901,5135214
佐賀県,41,1011646.0,76039.0,381913.0,124647.73460948934,9368.977974480165,47056.56945998295,811604
長崎県,42,1673473.0,238047.0,570976.0,127520.48476092286,18139.44344239997,43508.99973101011,1312317
熊本県,43,2110562.0,183771.0,755856.0,121415.22095425361,10571.874491241735,43482.457871220235,1738301
大分県,44,949587.0,70257.0,499275.0,84493.95472001651,6251.4459199254,44425.33358484925,1123852
宮崎県,45,852799.0,263908.0,546780.0,79732.4360307262,24674.07645646499,51121.19194895921,1069576
鹿児島県,46,1189736.0,187923.0,705064.0,74908.32712106864,11832.03463421514,44392.33977394072,1588256
沖縄県,47,1225277.0,198975.0,714175.0,83495.31169078965,13558.958214081282,48666.76206830757,1467480
