n,beta,se,p_value,ci_lower,ci_upper,r2,exposure,outcome,specification,significant
47,1.3100664107776909e-05,2.6567981194267513e-05,0.6244510377767206,-4.047877631593391e-05,6.668010453148772e-05,0.24365788979400138,caries_rate,hba1c_high_rate,Spec1_Baseline,False
47,1.3100664107776909e-05,2.286661668578324e-05,0.5667011696151063,-3.1717081044640896e-05,5.7918409260194714e-05,0.24365788979400138,caries_rate,hba1c_high_rate,Spec2_HC3,False
47,1.3100664107776909e-05,2.6567981194267513e-05,0.6244510377767206,-4.047877631593391e-05,6.668010453148772e-05,0.24365788979400138,caries_rate,hba1c_high_rate,Spec3_OutlierExcluded,False
44,1.067950824986671e-05,2.8349504982607568e-05,0.7083810556043943,-4.6616978597846504e-05,6.797599509757992e-05,0.15149587005060472,caries_rate,hba1c_high_rate,Spec4_MetropolisExcluded,False
47,0.08952379038215141,0.1409837882855421,0.5287972419139813,-0.19479711567088837,0.3738446964351912,0.2740682118250989,caries_rate,hba1c_high_rate,Spec5_LogTransformed,False
47,8.352588834359213e-06,2.7349907474756176e-05,0.7615036958599408,-4.676752785430149e-05,6.347270552301991e-05,0.17324646939986243,caries_rate,hba1c_high_rate,Spec6_AgingOnly,False
47,2.0767971703950653e-06,1.2655341675573904e-06,0.10808378013326304,-4.753957131742018e-07,4.628990053964332e-06,0.27635960644864754,caries_rate,hba1c_mean,Spec1_Baseline,False
47,2.0767971703950653e-06,1.1013667923462628e-06,0.059341537555128554,-8.184207637201429e-08,4.2354364171621446e-06,0.27635960644864754,caries_rate,hba1c_mean,Spec2_HC3,False
47,2.0767971703950653e-06,1.2655341675573904e-06,0.10808378013326304,-4.753957131742018e-07,4.628990053964332e-06,0.27635960644864754,caries_rate,hba1c_mean,Spec3_OutlierExcluded,False
44,2.261143423567955e-06,1.3298251831140925e-06,0.09683260809950237,-4.265335274334702e-07,4.94882037456938e-06,0.2205492678157882,caries_rate,hba1c_mean,Spec4_MetropolisExcluded,False
47,0.014416639066312409,0.008757496900140178,0.10701219097319026,-0.003244536616962137,0.03207781474958696,0.2778261380889592,caries_rate,hba1c_mean,Spec5_LogTransformed,False
47,1.6440246979378069e-06,1.4428935475969113e-06,0.2607038171983562,-1.2639361712631366e-06,4.55198556713875e-06,0.02969828579027356,caries_rate,hba1c_mean,Spec6_AgingOnly,False
47,0.0012950575656250774,0.003808617481554545,0.7354867766739644,-0.006385751599268694,0.00897586673051885,0.011432055697713772,caries_rate,dm_complication_rate,Spec1_Baseline,False
47,0.0012950575656250774,0.004034897908557481,0.7482375610815897,-0.0066131970164435725,0.009203312147693727,0.011432055697713772,caries_rate,dm_complication_rate,Spec2_HC3,False
47,0.0012950575656250774,0.003808617481554545,0.7354867766739644,-0.006385751599268694,0.00897586673051885,0.011432055697713772,caries_rate,dm_complication_rate,Spec3_OutlierExcluded,False
44,0.0014971073619449013,0.0040420431503066494,0.7130506803749954,-0.006672166575695907,0.009666381299585709,0.009691171878395077,caries_rate,dm_complication_rate,Spec4_MetropolisExcluded,False
47,0.5272174197204067,0.8702586570136904,0.5478210214263407,-1.2278264251895852,2.2822612646303986,0.03422100461038835,caries_rate,dm_complication_rate,Spec5_LogTransformed,False
47,0.0013461393728527477,0.0037510219110781532,0.7214067003401233,-0.006213548557762239,0.008905827303467735,0.010913720068414623,caries_rate,dm_complication_rate,Spec6_AgingOnly,False
47,0.00043955775676972147,0.001981504543892073,0.8254961658296207,-0.0035565269996319093,0.004435642513171353,0.007741918539473369,caries_rate,dialysis_prevention_rate,Spec1_Baseline,False
47,0.00043955775676972147,0.0023036056230796927,0.8486721519255181,-0.004075426299050427,0.00495454181258987,0.007741918539473369,caries_rate,dialysis_prevention_rate,Spec2_HC3,False
46,0.001998899819188711,0.0016933937852404938,0.2444791899308539,-0.001418507194471595,0.005416306832849016,0.04297131177177094,caries_rate,dialysis_prevention_rate,Spec3_OutlierExcluded,False
44,0.00027853077734615937,0.002108783568543058,0.8955821891941198,-0.003983479796518456,0.004540541351210775,0.005165996712028886,caries_rate,dialysis_prevention_rate,Spec4_MetropolisExcluded,False
47,0.45463306827605154,1.110515832349196,0.6842863348176468,-1.7849355479415656,2.6942016844936685,0.022383402041663558,caries_rate,dialysis_prevention_rate,Spec5_LogTransformed,False
47,0.0005300173489343302,0.0019569449422882227,0.7877812567741509,-0.0034139460327250754,0.0044739807305937355,0.0017142342910095865,caries_rate,dialysis_prevention_rate,Spec6_AgingOnly,False
