n,beta,se,p_value,ci_lower,ci_upper,r2,outcome,specification,significant
47,-4.123596539648538e-06,6.271706795407461e-06,0.5143689939317387,-1.6771698709790898e-05,8.524505630493822e-06,0.24695177086742492,hba1c_high_rate,Spec1_Baseline,False
47,-4.123596539648538e-06,7.71689677784489e-06,0.5930928842699535,-1.9248436296637713e-05,1.1001243217340638e-05,0.24695177086742492,hba1c_high_rate,Spec2_HC3,False
47,-4.123596539648538e-06,6.271706795407461e-06,0.5143689939317387,-1.6771698709790898e-05,8.524505630493822e-06,0.24695177086742492,hba1c_high_rate,Spec3_OutlierExcluded,False
44,-4.878207229599708e-06,6.624697774533894e-06,0.4658043900026343,-1.8267220869926894e-05,8.510806410727479e-06,0.15987426016197914,hba1c_high_rate,Spec4_MetropolisExcluded,False
47,-0.0413944056839739,0.07454650736651564,0.5815786167278687,-0.1917317655697055,0.1089429542017577,0.2724778794405718,hba1c_high_rate,Spec5_LogTransformed,False
47,-7.782919272976616e-06,5.934901533021723e-06,0.19653120502427818,-1.9743927380145178e-05,4.178088834191945e-06,0.2026577646784895,hba1c_high_rate,Spec6_AgingOnly,False
47,-1.1119062713474536e-06,6.922736144005036e-06,0.8731654491371184,-1.5082553417003925e-05,1.2858740874309018e-05,0.2653238552277368,hba1c_high_rate,Spec7_IncomeAdjusted,False
47,-9.035892595816959e-08,3.0832322935338274e-07,0.7708817248691118,-7.121519774358678e-07,5.314341255195286e-07,0.2325719462827962,hba1c_mean,Spec1_Baseline,False
47,-9.035892595816959e-08,2.495188701853889e-07,0.7172529170948887,-5.794069249846569e-07,3.986890730683177e-07,0.2325719462827962,hba1c_mean,Spec2_HC3,False
47,-9.035892595816959e-08,3.0832322935338274e-07,0.7708817248691118,-7.121519774358678e-07,5.314341255195286e-07,0.2325719462827962,hba1c_mean,Spec3_OutlierExcluded,False
44,-9.337832954233686e-08,3.230506441766964e-07,0.774034675034148,-7.462880363104464e-07,5.595313772257727e-07,0.1659541299604652,hba1c_mean,Spec4_MetropolisExcluded,False
47,-0.001232834403347427,0.004765369089166088,0.7970957139323943,-0.010843117071910078,0.008377448265215224,0.233505563692754,hba1c_mean,Spec5_LogTransformed,False
47,-4.559301468867402e-07,3.161118335353105e-07,0.15629685739925628,-1.0930116860917694e-06,1.8115139231828917e-07,0.04616529111189327,hba1c_mean,Spec6_AgingOnly,False
47,7.731672964618545e-08,3.391239478653457e-07,0.8207606628216199,-6.070631045284246e-07,7.616965638207955e-07,0.25658523964640756,hba1c_mean,Spec7_IncomeAdjusted,False
47,0.001838293402108354,0.000857589973923927,0.03776652375906924,0.00010879839155997738,0.0035677884126567305,0.10446754768810318,dm_complication_rate,Spec1_Baseline,True
47,0.001838293402108354,0.0007223570714716236,0.010932338539646964,0.000422499558046146,0.003254087246170562,0.10446754768810318,dm_complication_rate,Spec2_HC3,True
47,0.001838293402108354,0.000857589973923927,0.03776652375906924,0.00010879839155997738,0.0035677884126567305,0.10446754768810318,dm_complication_rate,Spec3_OutlierExcluded,True
44,0.0017996361155498233,0.0009072932304546266,0.05420274138702076,-3.407190431350027e-05,0.003633344135413147,0.09528195877903511,dm_complication_rate,Spec4_MetropolisExcluded,False
47,1.087108647463714,0.4308149570001713,0.015400523104078674,0.21828748437079804,1.9559298105566298,0.1516076660273371,dm_complication_rate,Spec5_LogTransformed,True
47,0.0016466004070234488,0.0007920689589002996,0.0434923855284315,5.02903105323554e-05,0.0032429105035145425,0.09673670811895507,dm_complication_rate,Spec6_AgingOnly,True
47,0.0014232959809430553,0.0009464278526908055,0.14010030641626137,-0.00048667275161000867,0.0033332647134961192,0.12665458204414404,dm_complication_rate,Spec7_IncomeAdjusted,False
47,-0.0006829487935248966,0.0004573403160264416,0.14265919848757094,-0.0016052634412478091,0.000239365854198016,0.055583421445423276,dialysis_prevention_rate,Spec1_Baseline,False
47,-0.0006829487935248966,0.0006150998839967201,0.26686739737410237,-0.0018885224130532332,0.00052262482600344,0.055583421445423276,dialysis_prevention_rate,Spec2_HC3,False
46,-0.00034341792156807353,0.00040410587000378476,0.40024273066033755,-0.0011589365838242402,0.00047210074068809314,0.02793624769005032,dialysis_prevention_rate,Spec3_OutlierExcluded,False
44,-0.0007774700316565322,0.00047984245039598664,0.11303439319390153,-0.0017472677993761192,0.00019232773606305486,0.06602965780931302,dialysis_prevention_rate,Spec4_MetropolisExcluded,False
47,-0.5317577295328917,0.5820739694493393,0.3660438597445541,-1.705621763094949,0.6421063040291657,0.037258812536646424,dialysis_prevention_rate,Spec5_LogTransformed,False
47,-0.0005057437237730757,0.0004260074511115285,0.24153007586432046,-0.0013643053272146869,0.00035281787966853556,0.03108550500491103,dialysis_prevention_rate,Spec6_AgingOnly,False
47,-0.0006625020263443117,0.0005110330882290507,0.20191672359209548,-0.0016938085512341627,0.0003688044985455391,0.05578314093730152,dialysis_prevention_rate,Spec7_IncomeAdjusted,False
47,-5.99606447937451e-06,5.734539565207345e-06,0.2957433401930294,-1.7235762027180906e-05,5.243633068431887e-06,0.330648345015115,hba1c_high_rate,Spec8_SLM,False
47,,,,,,,hba1c_mean,Spec8_LM_ns_OLS_OK,False
47,,,,,,,dm_complication_rate,Spec8_LM_ns_OLS_OK,False
47,,,,,,,dialysis_prevention_rate,Spec8_LM_ns_OLS_OK,False
